N beam,Microsecs per read,Accuracy,Accuracy std
30,1412.71,0.012518891486418016,8.331725656106897e-05
10,496.224,0.011844403903257857,7.097193646822185e-05
15,729.55,0.01216961264089628,8.299330901585153e-05
20,971.884,0.012356903255963633,9.383641568746156e-05
40,1893.15,0.01260752076561498,8.611429803794123e-05
8,409.042,0.011573469263848479,7.159967661952574e-05
9,443.418,0.011735512572456698,6.432530603915241e-05
13,640.438,0.012044273936089967,7.690744710449641e-05
17,826.823,0.01226235091092531,8.718191414175356e-05
25,1205.54,0.012471090306889053,8.855377349674418e-05
50,2408.85,0.012632834455096456,8.304496604748909e-05
60,2927.74,0.012662221240293144,7.505526743669625e-05
