K,H,Acc,Acc std,t
75,25,0.012369970152973957,5.0262737779908165e-05,0.006671762528501588
200,50,0.012527957576064088,7.497741586009859e-05,0.0
500,20,0.01231202970898382,6.215873813510492e-05,0.0
10000,1000,0.012716674330823107,5.9627944278411835e-05,0.00912465020161181
200,25,0.012397415828118968,5.315322686511887e-05,0.0
1000,50,0.012550030963309578,7.921849634618858e-05,0.0
200,15,0.012202436649292195,4.870218612432403e-05,0.007397836101904226
100,25,0.01237644613610915,5.737573614862887e-05,0.007080396436366238
100,15,0.012229998771166694,6.483967070708012e-05,0.005978920479618179
1000,100,0.012627082543235408,7.550716256778965e-05,0.0
